Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0310.b3.txt,1749.17,721.95,804.46,565.18,23,6,12
0103.b3.txt,2014.32,622.2,604.3,259.62,23,2,26
1533.b3.txt,1713.94,895.46,705.02,340.36,9,0,17
1097.b3.txt,1606.27,832.52,910.87,528.89,13,1,9
0165.b3.txt,1714.95,656.01,632.7,249.75,44,0,23
0171.b3.txt,1647.73,789.14,820.71,315.66,12,1,20
0122.b3.txt,1408.45,803.34,605.11,266.04,15,2,17
0307.b3.txt,1627.91,741.97,769.66,232.56,12,4,20
0139.b3.txt,1977.5,852.58,840.73,367.08,12,1,8
0200.b3.txt,1794.53,793.86,853.9,426.95,10,0,4
2018.b3.txt,1792.18,1033.27,683.01,297.72,11,0,13
1102.b3.txt,1682.66,708.49,922.51,435.42,4,4,4
1520.b3.txt,1195.95,814.17,533.58,294.39,22,1,30
0313.b3.txt,1805.67,596.33,800.67,287.74,7,2,12
2034.b3.txt,1420.94,1153.85,598.29,405.98,18,0,12
1100.b3.txt,1683.02,822.64,679.25,316.98,14,2,5
1057.b3.txt,1819.25,965.56,656.46,370.92,20,1,15
0140.b3.txt,2842.55,672.34,587.23,272.34,6,0,2
1069.b3.txt,1480.38,713.44,659.93,401.31,37,1,26
1508.b3.txt,1528.18,869.15,654.25,315.19,18,1,19
1066.b3.txt,1714.9,894.96,969.99,434.08,9,0,9
0303.b3.txt,1522.73,772.73,818.18,431.82,2,0,1
0304.b3.txt,1717.61,844.25,618.63,443.96,7,3,9
1536.b3.txt,1831.9,748.92,684.27,468.75,13,3,6
1023.b3.txt,1277.71,736.64,814.86,462.84,8,0,9
1112.b3.txt,1625.62,911.33,837.44,467.98,8,0,9
0308.b3.txt,1766.2,902.16,844.98,705.21,4,1,4
1532.b3.txt,1652.77,863.17,681.71,372.73,20,3,20
0130.b3.txt,1579.22,761.32,694.44,426.95,12,5,12
1082.b3.txt,2123.2,688.07,914.15,321.1,13,3,15
0134.b3.txt,1578.02,940.97,806.55,818.23,11,0,12
1534.b3.txt,1706.55,839.73,975.17,496.61,14,0,10
0133.b3.txt,1335.17,787.29,561.69,368.32,38,4,19
0300.b3.txt,1603.59,846.61,806.77,293.82,24,1,15
0105.b3.txt,1411.36,869.19,774.53,395.87,7,0,8
